#,Name,%Complete,AvgTime,Std,NoObs
0,ModRepeat_forest_0,97.0,456.0412371134021,56.3215945338969,387.0
1,ModRepeat_forest_1,96.0,436.2083333333333,44.39029470378507,373.0
2,ModRepeat_forest_2,92.0,482.9347826086956,69.18670460802392,393.0
3,ModRepeat_forest_3,95.0,452.30526315789473,46.94679489855018,378.0
4,ModRepeat_forest_4,93.0,483.5806451612903,63.83300164106728,410.0
5,ModRepeat_forest_5,93.0,428.2043010752688,40.3774021595826,377.0
6,ModRepeat_forest_6,92.0,437.1304347826087,38.03037041265845,403.0
7,ModRepeat_forest_7,89.0,464.9438202247191,46.74875701058903,410.0
8,ModRepeat_forest_8,97.0,473.8556701030928,45.29399716507848,394.0
9,ModRepeat_forest_9,95.0,455.13684210526316,52.633111556632905,379.0
