#,Name,%Complete,AvgTime,Std,NoObs
0,Follow the Forest Gap,100.0,424.89,47.319741123552234,373.0
1,Oracle Path Follower,100.0,380.08,16.85982206311799,372.0
2,ModForest_2,89.0,464.44943820224717,50.07971426219662,409.0
